company_id,year,issue,category,explanation
LICI,TTM,eps_cagr_5yr_flag,INSUFFICIENT,CAGR edge case handled and documented
LICI,TTM,eps_cagr_10yr_flag,INSUFFICIENT,CAGR edge case handled and documented
LODHA,2011-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
LODHA,2011-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LODHA,2012-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LODHA,2015-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LODHA,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LODHA,2017-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LODHA,2018-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LODHA,2019-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
LODHA,2019-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LODHA,2020-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LODHA,2021-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LODHA,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LODHA,2023-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2013-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2013-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2014-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2015-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2015-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2016-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2017-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2017-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2018-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2019-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2019-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2020-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2021-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2022-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2022-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2023-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2023-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LT,2024-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LT,2024-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LTIM,2013-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LTIM,2013-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LTIM,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LTIM,2014-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LTIM,2015-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LTIM,2016-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LTIM,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LTIM,2018-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LTIM,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LTIM,2024-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2013-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2015-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2016-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2017-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2018-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2019-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2020-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
M&M,2021-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
M&M,2022-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2023-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,2024-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
M&M,TTM,pat_cagr_5yr_flag,TURNAROUND,CAGR edge case handled and documented
MARUTI,2013-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MARUTI,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
