id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,net_debt,asset_turnover,free_cash_flow_cr,capex_cr,capex_intensity_pct,capex_intensity_label,fcf_conversion_pct,earnings_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,cfo_sign,cfi_sign,cff_sign,capital_allocation_label,source_roce_percentage,source_roe_percentage,broad_sector,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,cfo_quality_score,cfo_quality_label,score_roe,score_opm,score_debt,score_icr,score_fcf,composite_quality_score
,COALINDIA,2015-03,18.519967620075555,76.60145709660011,34.01729735087849,133.60074581094673,12.336991201344514,0.010110772433276337,0,8.645357686453577,Covered,0,-2405.0,0.6661453980065968,15276.0,894.0,1.21,Asset Light,26.91,22.0,95.0,408.0,14382.0,+,+,-,Liquidating Assets,63.6,52.0,Materials,,,,,,,,,,,,,,,,,,,1.97,High Quality,5.943813314892392,73.85486091664515,99.99696002402702,43.283614500308545,37.94255623033245,50.34
,HINDUNILVR,2017-03,13.539593510644716,80.91791809902901,66.57769869513642,376.04329867540235,28.587800840443144,0.041073546856465006,0,44.31188118811881,Covered,0,-3517.0,2.111422386349166,4012.0,1173.0,3.54,Moderate,14.95,21.0,82.0,277.0,5185.0,+,-,-,Reinvestor,27.2,20.2,Consumer Staples,,,,,,,,,,,,,,,,,,,1.27,High Quality,6.115359795630616,76.6399096056842,99.98765053843388,43.607723033196585,34.672662246426455,50.33
,HINDUNILVR,2018-03,14.705303136868759,78.90279926853285,71.78958934212334,378.0524653206977,29.26324039861158,0.0,0,79.5099150141643,Covered,0,-2873.0,1.989978725786586,4996.0,1063.0,2.99,Asset Light,17.81,24.0,83.0,0.0,6059.0,+,-,-,Reinvestor,27.2,20.2,Consumer Staples,,,,,,,,,,,,,,,,,,,1.27,High Quality,6.142818962642411,75.33972316730951,100.0,43.92757431063805,34.95831349644097,50.18
,HINDUNILVR,2023-03,16.743149554308353,76.64740838560581,20.16340648854962,87.91413543466024,13.879880126441973,0.024232665394402036,0,103.69642857142857,Covered,0,-1663.0,0.8289886010646305,8507.0,1484.0,2.45,Asset Light,18.32,43.0,91.0,1219.0,9991.0,+,-,-,Reinvestor,27.2,20.2,Consumer Staples,,,,,,,,,,,,,,,,,,,1.27,High Quality,5.870823237256784,73.88450941274715,99.99271403633637,44.14736179355199,35.97754270253951,50.06
,HINDUNILVR,2024-03,16.611735814915342,76.31672482874498,20.074973642078955,87.32306174338734,13.099924830230988,0.028974188761763442,0,57.847001223990205,Covered,0,-3141.0,0.7885945801322478,10145.0,5324.0,8.6,Capital Intensive,21.48,44.0,96.0,1484.0,15469.0,+,-,-,Reinvestor,27.2,20.2,Consumer Staples,,,,,,,,,,,,,,,,,,,1.27,High Quality,5.870357323356236,73.67114716853742,99.99128841656228,43.73071926233805,36.45304752725879,50.05
,HINDUNILVR,2019-03,15.41592470109387,77.41032816077335,77.03063429515699,374.9058498619131,32.52992645874711,0.01258421253336723,0,94.57453416149069,Covered,0,-2617.0,2.1101508400880347,5362.0,438.0,1.11,Asset Light,17.62,28.0,78.0,99.0,5800.0,+,-,-,Reinvestor,27.2,20.2,Consumer Staples,,,,,,,,,,,,,,,,,,,1.27,High Quality,6.170431730911999,74.37675727933895,99.99621634212492,44.064469391262584,35.064561827239054,50.04
,ABB,2012-12,8.771929824561402,12.220205686630369,22.411128284389488,28.284389489953632,15.986769570011026,0.0,0,,Debt Free,0,0.0,1.822491730981257,42.0,59.0,3.57,Moderate,20.79,68.0,25.0,0.0,101.0,+,-,-,Reinvestor,46.0,34.9,Industrials,,,,,,,,,,,,,,,,,,,1.39,High Quality,5.88266549803478,32.31506251764797,100.0,,33.520187182851636,50.0
,LICI,2021-03,0.43044431000095523,-0.03647342505724301,43.201626961069145,-9.712543554006968,0.07765978226014512,0.0005810575246949448,0,,Debt Free,0,-3517441.0,0.18041772293371186,229049.0,148447.0,21.49,Capital Intensive,-90892.46,7.0,0.0,4.0,80602.0,+,+,-,Liquidating Assets,63.79,63.61,Financials,,,,,,,,,,,,,,,,,,,15.79,High Quality,5.992201521349372,24.406859924651148,99.99982529515665,,100.0,50.0
,LICI,2022-03,0.5700616081127022,0.4596424020806903,36.38207796789557,25.487256371814095,0.09696621509010571,8.819897689186806e-05,0,,Debt Free,0,-3926211.0,0.17009778190664493,8748.0,12531.0,1.73,Asset Light,263.02,57.0,23.0,1.0,-3783.0,-,+,0,Other,63.79,63.61,Financials,,,,,,,,,,,,,,,,,,,15.79,High Quality,5.956272307282509,24.72696167773186,99.9999734814751,,36.0475040351142,50.0
,INFY,2019-03,18.639250075597218,24.396734200181434,23.726673646609594,27.959290509330543,18.33083529607689,0.0,0,,Debt Free,0,-11261.0,0.9834534770299527,14209.0,632.0,0.76,Asset Light,70.45,35.0,60.0,0.0,14841.0,+,-,-,Reinvestor,40.0,31.8,Information Technology,,,,,,,,,,,,,,,,,,,1.29,High Quality,5.889596529834859,40.17155068112944,100.0,,37.6328104134976,50.0
,IRCTC,2015-03,12.370160528800756,14.353163361661943,29.504504504504503,29.72972972972973,11.273666092943202,0.0,0,,Debt Free,0,0.0,0.9113597246127366,23.0,46.0,4.34,Moderate,15.13,13.0,20.0,0.0,69.0,+,-,-,Reinvestor,53.8,40.4,Consumer Discretionary,,,,,,,,,,,,,,,,,,,0.9,Moderate,5.920037387719043,33.6912804362808,100.0,,33.51467155912168,50.0
,INFY,2016-03,21.602793036626576,27.352220496148366,21.84665716506867,25.298004664420837,17.961863165463793,0.0,0,,Debt Free,0,-1892.0,0.8314602253056007,9143.0,885.0,1.42,Asset Light,53.53,29.0,41.0,0.0,10028.0,+,-,-,Reinvestor,40.0,31.8,Information Technology,,,,,,,,,,,,,,,,,,,1.29,High Quality,5.879691547161937,42.07847703339438,100.0,,36.16217094950011,50.0
,ICICIPRULI,2016-03,7.91404863542616,91.16984028010936,30.99755776817584,299.24433249370276,1.5749534672839212,0.19331204208153296,0,,Debt Free,0,-101995.0,0.1990073020569847,3661.0,27.0,0.13,Asset Light,19.26,12.0,73.0,1029.0,3634.0,+,+,-,Liquidating Assets,8.75,8.07,Financials,,,,,,,,,,,,,,,,,,,-16.17,Accrual Risk,5.9279036308353215,83.25461142147303,99.94187744140295,,34.57076835541518,50.0
,INFY,2018-03,22.729077451008195,26.68954368849437,24.689247262141308,26.12171341435239,20.200632648174523,0.0,0,,Debt Free,0,-12163.0,0.888757262221326,17751.0,4533.0,6.43,Moderate,94.31,37.0,59.0,0.0,13218.0,+,+,-,Liquidating Assets,40.0,31.8,Information Technology,,,,,,,,,,,,,,,,,,,1.29,High Quality,5.894667908238647,41.65090750980206,100.0,,38.66103879515554,50.0
,IRCTC,2016-03,13.825896122896856,13.89904901243599,34.87084870848708,31.18081180811808,13.152400835073069,0.0,0,,Debt Free,0,0.0,0.9512874043145442,295.0,7.0,0.51,Asset Light,155.26,19.0,40.0,0.0,288.0,+,+,-,Liquidating Assets,53.8,40.4,Consumer Discretionary,,,,,,,,,,,,,,,,,,,0.9,Moderate,5.948310302812749,33.398278698914496,100.0,,33.593632067255776,50.0
,ABB,2014-03,8.699472759226714,11.731107205623902,25.12690355329949,31.091370558375637,17.383669885864794,0.0,0,,Debt Free,0,0.0,1.9982440737489024,11.0,144.0,6.33,Moderate,4.12,93.0,25.0,0.0,155.0,+,-,-,Reinvestor,46.0,34.9,Industrials,,,,,,,,,,,,,,,,,,,1.39,High Quality,5.896973727375436,31.999488466921793,100.0,,33.51118800729223,50.0
,ABB,2015-03,10.004368719965049,13.630406290956751,24.439701173959445,31.696905016008536,16.666666666666664,0.0,0,,Debt Free,0,0.0,1.665938864628821,28.0,187.0,8.17,Capital Intensive,8.97,108.0,29.0,0.0,215.0,+,-,-,Reinvestor,46.0,34.9,Industrials,,,,,,,,,,,,,,,,,,,1.39,High Quality,5.893353159296919,33.2249461797849,100.0,,33.51612303905062,50.0
,HINDUNILVR,2020-03,16.982128044642185,75.21303069150139,82.09989063069631,351.4400291651476,33.52354488165534,0.0,0,70.62971698113208,Covered,0,-1255.0,1.974048528755024,9414.0,1791.0,4.5,Moderate,31.46,31.0,80.0,0.0,7623.0,+,+,-,Liquidating Assets,27.2,20.2,Consumer Staples,,,,,,,,,,,,,,,,,,,1.27,High Quality,6.197139420265314,72.95902631112654,100.0,43.84687824963544,36.24084116164842,49.97
,COALINDIA,2020-03,17.38134887593672,77.53955037468776,51.93270516528283,184.10769350366664,11.131849086788428,0.20008085331343098,0,11.56455617628802,Covered,0,4461.0,0.64044794027463,6010.0,1033.0,1.08,Asset Light,8.07,27.0,44.0,6434.0,4977.0,+,+,-,Liquidating Assets,63.6,52.0,Materials,,,,,,,,,,,,,,,,,,,1.97,High Quality,6.038201744846225,74.46013348898258,99.93984228299676,43.31014181631412,35.2526736260291,49.94
